sigma,dnfr
-1.0080160320641283,3.128048780530122
-0.997995991983968,3.1072613965683336
-0.9879759519038076,3.086474072718832
-0.9779559118236474,3.0656868085802427
-0.9679358717434869,3.0448996037511766
-0.9579158316633267,3.0241124578302307
-0.9478957915831663,3.003325370415986
-0.9378757515030061,2.982538341107013
-0.9278557114228458,2.961751369501865
-0.9178356713426854,2.9409644551990826
-0.9078156312625252,2.9201775977971924
-0.8977955911823647,2.8993907968947075
-0.8877755511022045,2.878604052090128
-0.8777555110220441,2.8578173629819386
-0.8677354709418839,2.837030729168613
-0.8577154308617234,2.8162441502486097
-0.8476953907815632,2.795457625820376
-0.8376753507014028,2.774671155482343
-0.8276553106212425,2.7538847388329324
-0.8176352705410823,2.7330983754705502
-0.8076152304609219,2.712312064993591
-0.7975951903807617,2.6915258070004358
-0.7875751503006012,2.6707396010894535
-0.777555110220441,2.6499534468590014
-0.7675350701402806,2.629167343907422
-0.7575150300601203,2.6083812918330476
-0.7474949899799599,2.587595290234197
-0.7374749498997997,2.566809338709178
-0.7274549098196392,2.5460234368562853
-0.717434869739479,2.5252375842738024
-0.7074148296593188,2.5044517805599997
-0.6973947895791583,2.4836660253131373
-0.6873747494989981,2.4628803181314636
-0.6773547094188377,2.4420946586132133
-0.6673346693386775,2.4213090463566127
-0.657314629258517,2.400523480959875
-0.6472945891783568,2.3797379620212014
-0.6372745490981964,2.3589524891387836
-0.6272545090180361,2.3381670619108017
-0.6172344689378757,2.317381679935424
-0.6072144288577155,2.296596342810809
-0.5971943887775553,2.2758110501351037
-0.5871743486973948,2.255025801506444
-0.5771543086172346,2.234240596522957
-0.5671342685370742,2.2134554347827566
-0.5571142284569139,2.1926703158839493
-0.5470941883767535,2.1718852394246286
-0.5370741482965933,2.1511002050028796
-0.5270541082164328,2.130315212216776
-0.5170340681362726,2.1095302606643833
-0.5070140280561122,2.0887453499437543
-0.49699398797595196,2.0679604796529345
-0.48697394789579174,2.047175649389959
-0.4769539078156313,2.026390858752851
-0.4669338677354711,2.005606107339629
-0.45691382765531063,1.9848213947482969
-0.4468937875751504,1.9640367205768527
-0.43687374749499,1.9432520844232832
-0.42685370741482975,1.9224674858855677
-0.4168336673346693,1.9016829245616746
-0.4068136272545091,1.8808984000495652
-0.39679358717434887,1.8601139119471906
-0.38677354709418843,1.839329459852493
-0.3767535070140282,1.8185450433634074
-0.36673346693386777,1.7977606620778586
-0.35671342685370755,1.7769763155937646
-0.3466933867735471,1.7561920035090328
-0.3366733466933869,1.7354077254215647
-0.32665330661322645,1.7146234809292515
-0.3166332665330662,1.6938392696299782
-0.3066132264529058,1.6730550911216202
-0.29659318637274557,1.652270945002046
-0.28657314629258535,1.6314868308691162
-0.2765531062124249,1.6107027483206828
-0.2665330661322647,1.5899186969545915
-0.25651302605210424,1.5691346763686795
-0.24649298597194402,1.5483506861607772
-0.23647294589178358,1.5275667259287071
-0.22645290581162336,1.5067827952702857
-0.21643286573146292,1.4859988937833202
-0.2064128256513027,1.4652150210656132
-0.19639278557114226,1.4444311767149582
-0.18637274549098204,1.423647360329144
-0.17635270541082182,1.402863571505951
-0.16633266533066138,1.382079809843153
-0.15631262525050116,1.3612960749385188
-0.14629258517034072,1.3405123663898086
-0.1362725450901805,1.3197286837947786
-0.12625250501002006,1.2989450267511766
-0.11623246492985984,1.2781613948567458
-0.1062124248496994,1.257377787709222
-0.09619238476953917,1.2365942049063365
-0.08617234468937873,1.2158106460458136
-0.07615230460921851,1.1950271107253723
-0.0661322645290583,1.174243598542726
-0.05611222444889785,1.1534601090955816
-0.04609218436873763,1.1326766419816425
-0.03607214428857719,1.1118931967986043
-0.02605210420841697,1.0911097731441595
-0.01603206412825653,1.0703263706159936
-0.006012024048096309,1.0495429888117889
0.00400801603206391,1.028759627329221
0.014028056112224352,1.0079762857659609
0.024048096192384794,0.9871929637196754
0.03406813627254479,0.9664096607880274
0.04408817635270523,0.9456263765686724
0.054108216432865675,0.9248431106592641
0.06412825651302612,0.9040598626574506
0.07414829659318611,0.883276632160877
0.08416833667334656,0.8624934187671812
0.094188376753507,0.8417102220739998
0.10420841683366744,0.8209270416789646
0.11422845691382744,0.8001438771797039
0.12424849699398788,0.7793607281738398
0.13426853707414832,0.7585775942589938
0.14428857715430832,0.7377944750327831
0.15430861723446876,0.7170113700928185
0.1643286573146292,0.696228279036711
0.17434869739478964,0.6754452014620664
0.18436873747494964,0.6546621369664888
0.19438877755511008,0.633879085147576
0.20440881763527052,0.6130960456029257
0.21442885771543096,0.5923130179301316
0.22444889779559096,0.5715300017267858
0.2344689378757514,0.5507469965904742
0.24448897795591185,0.5299640021187836
0.25450901803607184,0.5091810179092977
0.2645290581162323,0.48839804355959493
0.2745490981963927,0.4676150786672543
0.28456913827655317,0.44683212282985196
0.29458917835671317,0.42604917564496203
0.3046092184368736,0.4052662367101544
0.31462925851703405,0.3844833056229995
0.3246492985971945,0.3637003819810647
0.3346693386773545,0.3429174653819171
0.34468937875751493,0.3221345554231189
0.35470941883767537,0.30135165170223366
0.36472945891783537,0.28056875381682306
0.3747494989979958,0.2597858613644452
0.38476953907815625,0.23900297394265915
0.3947895791583167,0.218220091149022
0.4048096192384767,0.19743721258109073
0.41482965931863713,0.17665433783641865
0.4248496993987976,0.15587146651256042
0.434869739478958,0.13508859820706953
0.444889779559118,0.11430573251749916
0.45490981963927846,0.0935228690413996
0.4649298597194389,0.07274000737632304
0.4749498997995989,0.051957147119821176
0.48496993987975934,0.03117428786944295
0.4949899799599198,0.010391429222739274
0.5050100200400802,0.010391429222739336
0.5150300601202402,0.03117428786944197
0.5250501002004007,0.05195714711982026
0.5350701402805611,0.072740007376323
0.5450901803607215,0.09352286904139963
0.5551102204408815,0.11430573251749825
0.565130260521042,0.13508859820706945
0.5751503006012024,0.15587146651256042
0.5851703406813624,0.17665433783641765
0.5951903807615229,0.1974372125810899
0.6052104208416833,0.21822009114902197
0.6152304609218437,0.23900297394265915
0.6252505010020037,0.25978586136444426
0.6352705410821642,0.2805687538168222
0.6452905811623246,0.3013516517022336
0.6553106212424851,0.322134555423119
0.6653306613226451,0.34291746538191625
0.6753507014028055,0.36370038198106475
0.685370741482966,0.38448330562299937
0.695390781563126,0.40526623671015344
0.7054108216432864,0.4260491756449611
0.7154308617234468,0.44683212282985196
0.7254509018036073,0.46761507866725444
