sigma,t,phi_s
0.4201005025125628,14.07035175879397,-2.481620110739238
0.421105527638191,14.07035175879397,-2.4896673281403023
0.4221105527638191,14.07035175879397,-2.497734029478552
0.42311557788944726,14.07035175879397,-2.5058192959547556
0.42412060301507537,14.07035175879397,-2.513922154208789
0.42512562814070354,14.07035175879397,-2.5220415740654065
0.4261306532663317,14.07035175879397,-2.530176466218607
0.4271356783919598,14.07035175879397,-2.538325679856033
0.428140703517588,14.07035175879397,-2.5464880002252643
0.4291457286432161,14.07035175879397,-2.5546621461443415
0.43015075376884426,14.07035175879397,-2.562846767459404
0.4311557788944724,14.07035175879397,-2.571040442452868
0.43216080402010054,14.07035175879397,-2.5792416752062617
0.43316582914572865,14.07035175879397,-2.587448892922449
0.4341708542713568,14.07035175879397,-2.5956604432128105
0.43517587939698493,14.07035175879397,-2.603874591355681
0.4361809045226131,14.07035175879397,-2.6120895175332843
0.4371859296482412,14.07035175879397,-2.62030331405531
0.4381909547738694,14.07035175879397,-2.6285139825783124
0.4391959798994975,14.07035175879397,-2.6367194313311746
0.44020100502512566,14.07035175879397,-2.6449174723580495
0.44120603015075377,14.07035175879397,-2.6531058187913876
0.44221105527638194,14.07035175879397,-2.6612820821689716
0.44321608040201005,14.07035175879397,-2.669443769810198
0.4442211055276382,14.07035175879397,-2.677588282268294
0.4452261306532663,14.07035175879397,-2.685712910876591
0.4462311557788945,14.07035175879397,-2.693814835408515
0.4472361809045226,14.07035175879397,-2.701891121872509
0.4482412060301508,14.07035175879397,-2.7099387204646823
0.4492462311557789,14.07035175879397,-2.7179544637035975
0.45025125628140705,14.07035175879397,-2.725935064773212
0.4512562814070352,14.07035175879397,-2.7338771161015836
0.45226130653266333,14.07035175879397,-2.741777088204525
0.45326633165829144,14.07035175879397,-2.7496313288248704
0.4542713567839196,14.07035175879397,-2.7574360623994716
0.4552763819095478,14.07035175879397,-2.7651873898873207
0.4562814070351759,14.07035175879397,-2.7728812889933896
0.45728643216080406,14.07035175879397,-2.7805136148237497
0.45829145728643217,14.07035175879397,-2.7880801010083083
0.45929648241206034,14.07035175879397,-2.7955763613280347
0.46030150753768845,14.07035175879397,-2.8029978918837393
0.4613065326633166,14.07035175879397,-2.8103400738433866
0.4623115577889447,14.07035175879397,-2.817598176804367
0.4633165829145729,14.07035175879397,-2.824767362806256
0.464321608040201,14.07035175879397,-2.8318426910281205
0.4653266331658292,14.07035175879397,-2.8388191232025255
0.4663316582914573,14.07035175879397,-2.845691529775842
0.46733668341708545,14.07035175879397,-2.8524546968413573
0.46834170854271356,14.07035175879397,-2.85910333386792
0.46934673366834173,14.07035175879397,-2.865632082242418
0.47035175879396984,14.07035175879397,-2.872035524639271
0.471356783919598,14.07035175879397,-2.878308195224325
0.4723618090452262,14.07035175879397,-2.8844445906939944
0.4733668341708543,14.07035175879397,-2.8904391821433633
0.4743718592964824,14.07035175879397,-2.896286427749074
0.47537688442211057,14.07035175879397,-2.9019807862444464
0.47638190954773874,14.07035175879397,-2.9075167311552774
0.47738693467336685,14.07035175879397,-2.912888765755351
0.47839195979899496,14.07035175879397,-2.9180914386909222
0.4793969849246231,14.07035175879397,-2.9231193602134184
0.4804020100502513,14.07035175879397,-2.9279672189494867
0.4814070351758794,14.07035175879397,-2.9326297991274815
0.4824120603015075,14.07035175879397,-2.9371019981696294
0.4834170854271357,14.07035175879397,-2.941378844549707
0.48442211055276385,14.07035175879397,-2.9454555158072244
0.48542713567839196,14.07035175879397,-2.9493273566010707
0.48643216080402013,14.07035175879397,-2.952989896678527
0.48743718592964824,14.07035175879397,-2.956438868629671
0.4884422110552764,14.07035175879397,-2.9596702252926836
0.4894472361809045,14.07035175879397,-2.962680156672577
0.4904522613065327,14.07035175879397,-2.965465106234548
0.4914572864321608,14.07035175879397,-2.9680217864336216
0.49246231155778897,14.07035175879397,-2.9703471933446206
0.4934673366834171,14.07035175879397,-2.9724386202607707
0.49447236180904525,14.07035175879397,-2.9742936701354856
0.49547738693467336,14.07035175879397,-2.975910266750041
0.4964824120603015,14.07035175879397,-2.9772866644998217
0.4974874371859297,14.07035175879397,-2.9784214567035923
0.4984924623115578,14.07035175879397,-2.9793135823535204
0.4994974874371859,14.07035175879397,-2.9799623312383945
0.5005025125628141,14.07035175879397,-2.9803673473883117
0.5015075376884423,14.07035175879397,-2.9805286308058445
0.5025125628140703,14.07035175879397,-2.980446537466042
0.5035175879396985,14.07035175879397,-2.980121777585262
0.5045226130653266,14.07035175879397,-2.9795554121764813
0.5055276381909548,14.07035175879397,-2.978748847926082
