sigma,chi_mag,log_chi_mag,phi_s,unitary_error
0.8358358358358359,0.7616691933699353,-0.2722429469927368,-1.4556604301067808,0.23833080663006467
0.8368368368368369,0.7610512401309574,-0.273054590757812,-1.4530702264843236,0.23894875986904263
0.8378378378378378,0.7604337869608832,-0.2738662362133719,-1.4504887962415471,0.23956621303911685
0.8388388388388388,0.7598168334522725,-0.27467788336443477,-1.4479160871247996,0.24018316654772753
0.8398398398398398,0.7592003791980229,-0.2754895322160183,-1.4453520473428871,0.24079962080197714
0.8408408408408409,0.7585844237913687,-0.2763011827731404,-1.4427966255616314,0.2414155762086313
0.8418418418418419,0.7579689668258812,-0.27711283504081896,-1.4402497708985111,0.24203103317411878
0.8428428428428428,0.757354007895468,-0.27792448902407174,-1.4377114329173772,0.24264599210453197
0.8438438438438438,0.756739546594373,-0.2787361447279165,-1.435181561623249,0.24326045340562696
0.8448448448448448,0.7561255825171762,-0.27954780215737074,-1.4326601074571834,0.2438744174828238
0.8458458458458459,0.7555121152587928,-0.2803594613174524,-1.4301470212912193,0.2444878847412072
0.8468468468468469,0.7548991444144737,-0.28117112221317886,-1.427642254423397,0.2451008555855263
0.8478478478478478,0.7542866695798048,-0.28198278484956757,-1.4251457585728449,0.24571333042019516
0.8488488488488488,0.7536746903507069,-0.28279444923163605,-1.4226574858749406,0.2463253096492931
0.8498498498498498,0.7530632063234349,-0.2836061153644018,-1.420177388876541,0.24693679367656507
