index,height,source
145,311.557108255656,odlyzko_1-10k
146,312.986153369785,odlyzko_1-10k
147,314.368542036449,odlyzko_1-10k
148,315.770424923616,odlyzko_1-10k
149,317.263775977607,odlyzko_1-10k
150,318.918187509512,odlyzko_1-10k
151,320.550526310161,odlyzko_1-10k
152,322.085257851123,odlyzko_1-10k
153,323.84279026071,odlyzko_1-10k
154,325.179294573032,odlyzko_1-10k
155,326.527517509868,odlyzko_1-10k
156,328.169117062664,odlyzko_1-10k
157,329.681831551315,odlyzko_1-10k
158,331.163867887031,odlyzko_1-10k
159,332.867845342182,odlyzko_1-10k
160,334.42317145667,odlyzko_1-10k
161,336.238294775109,odlyzko_1-10k
162,337.9863517574,odlyzko_1-10k
163,339.713044320232,odlyzko_1-10k
164,341.261482621209,odlyzko_1-10k
